hurricane_name,date,severity,deaths,location,injuries,damage_billions,duration_days,event_trading_date,event_date_shift_days,spy_prev_5d_return,vix,energy_prev_5d_return,energy_20d_volatility,energy_volume_change,energy_drawdown,energy_beta,utilities_prev_5d_return,utilities_20d_volatility,utilities_volume_change,utilities_drawdown,utilities_beta,financials_prev_5d_return,financials_20d_volatility,financials_volume_change,financials_drawdown,financials_beta,industrials_prev_5d_return,industrials_20d_volatility,industrials_volume_change,industrials_drawdown,industrials_beta,energy_5d_abnormal_return,utilities_5d_abnormal_return,financials_5d_abnormal_return,industrials_5d_abnormal_return
Alberto (2000),2000-08-03,Category 3,0,Senegal; East Coast of the United States; Iceland; Greenland; Jan Mayen,Not reported,0.0,20,2000-08-03,0,-0.00537448899223647,20.0,0.02375902673615604,0.25520225290711473,-0.49936118866228174,-0.019717090367608825,0.19168368987424592,0.0354530939988702,0.16514791683405283,-0.8363320750557959,0.0,0.33363831866143023,0.0006016453021704393,0.19257080078564032,-0.7197152528717535,-0.0012011226549331067,0.8825589420902207,-0.01548377798949907,0.18808301678815295,-0.9129874315178859,-0.04108174876122683,0.7450496841671702,0.03934411034058716,-0.03594138150192461,0.020978545366125978,0.0502059193803992
Debby (2000),2000-08-19,Category 1,1,Lesser Antilles; Greater Antilles; Turks and Caicos; Florida,Not reported,0.000735,5,2000-08-21,2,0.002721101465771536,17.049999237060547,0.021695928704634992,0.21169650257675582,4.9414779302364025,-0.011450696294748375,0.09972525751162191,-0.015367846771540794,0.20328676959267383,-0.6823457544288332,-0.040128318657192574,0.31170164472831163,-0.02436398248831384,0.23775147674318423,-0.20458724084675117,-0.02436398248831384,0.8864032120144097,-0.015029937891079315,0.21255759648655537,0.43051771117166204,-0.015029937891079315,0.6999848603724693,-0.000717270633981304,0.0015579640669098893,-0.007283251968707605,0.013155211836513914
Florence (2000),2000-09-10,Category 1,3,Bermuda; North Carolina; Newfoundland,Not reported,0.0,7,2000-09-11,1,-0.01762266789010336,18.459999084472656,0.0052552446064595415,0.20380073392026782,2.8019346316103464,-0.016363522806920106,0.2822665754711122,0.04833534488869118,0.17989444725081472,18.804103515826373,0.0,0.2088281337233902,0.03459796531965065,0.22390888225262942,17.357941468292946,0.0,0.6971316267409984,-0.012757991779989819,0.13510549177936523,6.667366456729647,-0.01757815949647923,0.7937242526758844,0.03721345822430988,0.011104170256615475,-0.02952077063678349,-0.006764623008471027
Gordon (2000),2000-09-14,Category 1,26,Mexico; Southeastern United States; Mid-Atlantic states; New England,Not reported,0.0108,7,2000-09-14,0,-0.01294738337808543,18.31999969482422,0.0014091793133528263,0.23380835887637494,-0.6659313911919069,-0.017963589279033076,0.32696161945384905,0.04545469024059634,0.18651374005401405,-0.354143558865473,-0.009514410472837742,0.1353766692316149,0.03474868081495264,0.21202132616159824,-0.3395838157751221,-0.007932189615588059,0.5503606079886674,-0.01669935759578156,0.12194547978398514,-0.5823248737984925,-0.022460522614924372,0.8058942112485807,0.01721475847896803,0.020342045401140263,-0.00925721909923316,0.004682726210946564
Isaac (2000),2000-09-21,Category 4,1,Cape Verde; Bermuda; East Coast of the United States; British Isles,Not reported,0.0,10,2000-09-21,0,-0.029309967623736388,19.93000030517578,-0.019296909051618405,0.24799868247430368,1.709692097679357,-0.045955808052830505,0.11646838382674485,-0.030959976467960337,0.21175112057789733,-0.4386476245992422,-0.05279618874339087,0.033836052255769425,-0.042593262586050784,0.26317516256500945,-0.6738906170996344,-0.05373181908059532,0.6884129953145586,-0.04239580208583005,0.15393782415463833,-0.7213600937995723,-0.06483887612969219,0.7746888460814826,0.0007841363013187941,0.06104189700736917,0.039349789451867734,0.011976980047372576
Joyce (2000),2000-09-25,Category 1,0,Windward Islands; ABC Islands; Dominican Republic,Not reported,0.0,7,2000-09-25,0,0.0043210725958409135,20.739999771118164,-0.05928314048075756,0.2373708756929473,0.8719268298896843,-0.05928314048075756,0.11338825128871859,-0.0020594732731290533,0.22539075142661555,-0.8579968007184351,-0.021492110945978027,0.061047209315039264,0.014673460924922832,0.2697847542029809,-0.8305373851957545,-0.04630606222231182,0.7256011210185944,-0.01040592733116208,0.14673480104012257,-0.9199779249448123,-0.0687557057918523,0.6301401488308744,0.06432452822836243,0.06736515257496567,0.03292021995897487,-0.008419977317189242
Keith (2000),2000-09-28,Category 4,68,Central America; Mexico,Not reported,0.319,8,2000-09-28,0,0.003285499106777001,21.670000076293945,0.020874119791717494,0.2667242688371079,-0.9050808011089118,-0.03354754056596099,-0.04563714653661792,0.043385825327397765,0.2188772252517178,-0.7022389561118616,-0.00432543161707033,0.003608467995514412,0.029478953327052304,0.2641927421238806,-0.3749939158538248,-0.03675885953863611,0.8055203468281943,0.014613191015202975,0.17808168660745186,-0.8258901366762427,-0.0481924450235619,0.5492915302768691,-0.004898427664760119,0.022302433710793657,0.012047639903694063,0.015755040351985605
Michael (2000),2000-10-15,Category 2,0,Bermuda; Maine; Atlantic Canada,Not reported,0.0,5,2000-10-16,1,-0.017411013349724058,27.600000381469727,0.007633493366773436,0.29388792115528867,-0.7257865264790485,-0.03825083495064219,-0.41388321520220295,-0.016505230289108663,0.22712432547773256,-0.08942075309893194,-0.02502385542497887,0.31640404392385174,-0.036199249287100055,0.39940151498256493,0.6048178784666465,-0.09458008225845693,1.195143747924247,-0.023613905183171524,0.2554937479027162,-0.5939435650378527,-0.044220938719496616,0.7220158021454517,-0.021739250830221768,-0.0012580997858007148,-0.022777888727626427,-0.028371060804015635
Aletta (2000),2000-05-22,Category 2,0,Southwestern Mexico,Not reported,0.0,6,2000-05-22,0,-0.02860820319060242,25.440000534057617,-0.01404334029230525,0.2543780506739841,-0.7364730198567948,-0.01404334029230525,0.20141573221403672,-0.02994004949350393,0.2555250961567197,-0.9370319945541185,-0.04705876145089061,0.36985690067809623,-0.0276382537263542,0.3414637404772602,-0.4178350774874474,-0.03249986587596676,1.0442881819654277,-0.029622454020995614,0.3156058605931927,-0.9117047769979624,-0.0384615081164531,0.9285322932260524,-0.024336681293798845,-0.00904147130897437,-0.007198651689918956,-0.013117661534908676
Carlotta (2000),2000-06-18,Category 4,18,Southwestern Mexico; Northwestern Mexico,Not reported,0.0,7,2000-06-19,1,0.014246130059248907,20.5,0.0008960838224327805,0.28314313623349363,1.1639833574529668,-0.011221445806044228,0.11249520128184458,0.0005309532169950337,0.2159577460347469,4.378304466727439,-0.02054415572549184,0.3053913345858541,-0.05441249475018772,0.3599136473976892,2.29361529822654,-0.10596988588332423,0.8949340305807434,-0.005970918865596309,0.1721282981833393,1.9083245521601686,-0.030341515115812068,0.838128467595988,0.005124050257171664,0.001190482065688725,0.0023592783351228386,-0.00020117284490195342
