hurricane_name,date,severity,deaths,location,injuries,damage_billions,duration_days
Allison,2001-06-04,Tropical Storm,55,USA,200,9.0,15
Lili,2002-09-21,Category 4,15,"USA, Caribbean",60,1.1,14
Isabel,2003-09-06,Category 5,51,USA,300,5.5,14
Charley,2004-08-09,Category 4,35,USA,792,16.9,6
Frances,2004-08-25,Category 4,50,"USA, Bahamas",200,10.1,14
Ivan,2004-09-02,Category 5,124,"USA, Grenada",500,26.1,22
Jeanne,2004-09-13,Category 3,3037,"USA, Haiti",2500,7.5,16
Dennis,2005-07-04,Category 4,89,"USA, Cuba",150,3.98,9
Katrina,2005-08-23,Category 5,1392,USA,3300,190.0,8
Rita,2005-09-18,Category 5,120,USA,200,18.5,8
Wilma,2005-10-15,Category 5,87,"USA, Mexico",100,29.4,11
Cyclone Sidr,2007-11-11,Category 5 Equivalent,15000,"Bangladesh, India",55000,2.31,6
Cyclone Nargis,2008-04-27,Category 4 Equivalent,138373,"Myanmar, Sri Lanka, India",55000,12.9,7
Dolly,2008-07-20,Category 2,22,"USA, Mexico",50,1.6,6
Gustav,2008-08-25,Category 4,153,"USA, Cuba, Haiti",250,8.31,11
Ike,2008-09-01,Category 4,214,"USA, Cuba",600,38.0,14
Typhoon Morakot,2009-08-02,Category 1 Equivalent,789,"Taiwan, China",1900,6.2,9
Cyclone Yasi,2011-01-26,Category 5 Equivalent,1,Australia,20,3.6,8
Irene,2011-08-21,Category 3,58,"USA, Bahamas",100,14.2,8
Isaac,2012-08-21,Category 1,41,"USA, Haiti",100,3.11,12
Sandy,2012-10-22,Category 3,233,"USA, Cuba",1000,68.7,11
Typhoon Bopha,2012-11-25,Category 5 Equivalent,1901,"Philippines, Palau",2666,1.16,14
Typhoon Haiyan,2013-11-03,Category 5 Equivalent,6300,"Philippines, Vietnam, China",28688,4.55,8
Cyclone Winston,2016-02-07,Category 5 Equivalent,44,"Fiji, Tonga",126,1.4,26
Hermine,2016-08-28,Category 1,5,USA,30,0.55,10
Matthew,2016-09-28,Category 5,603,"USA, Haiti",800,15.1,12
Harvey,2017-08-17,Category 4,107,USA,1000,125.0,16
Irma,2017-08-30,Category 5,134,"USA, Barbuda, Cuba",1500,77.2,14
Maria,2017-09-16,Category 5,3057,"Puerto Rico, Dominica",4000,91.6,17
Nate,2017-10-04,Category 1,48,"USA, Central America",100,2.25,6
Typhoon Jebi,2018-08-27,Category 5 Equivalent,17,"Japan, Taiwan",980,14.0,12
Florence,2018-08-31,Category 4,57,USA,300,24.2,18
Typhoon Mangkhut,2018-09-07,Category 5 Equivalent,134,"Philippines, China, Hong Kong",700,3.77,11
Michael,2018-10-07,Category 5,74,USA,500,25.5,6
Cyclone Idai,2019-03-04,Category 3 Equivalent,1303,"Mozambique, Zimbabwe, Malawi",2000,3.2,18
Cyclone Fani,2019-04-26,Category 4 Equivalent,89,"India, Bangladesh",300,8.1,9
Typhoon Lekima,2019-08-02,Category 4 Equivalent,105,"China, Taiwan",1200,9.28,12
Dorian,2019-08-24,Category 5,84,"Bahamas, USA",300,5.1,15
Typhoon Faxai,2019-09-02,Category 4 Equivalent,3,Japan,150,10.0,7
Typhoon Hagibis,2019-10-06,Category 5 Equivalent,118,Japan,450,15.0,8
Cyclone Amphan,2020-05-16,Category 5 Equivalent,128,"India, Bangladesh",1200,13.9,6
Isaias,2020-07-30,Category 1,17,"USA, Caribbean",60,5.2,7
Laura,2020-08-20,Category 4,81,"USA, Caribbean",150,19.1,9
Sally,2020-09-11,Category 2,9,USA,50,7.3,7
Delta,2020-10-05,Category 4,6,"USA, Mexico",20,3.0,7
Zeta,2020-10-24,Category 3,9,USA,45,4.4,6
Cyclone Tauktae,2021-05-14,Category 4 Equivalent,174,"India, Pakistan",200,3.2,6
Ida,2021-08-26,Category 4,107,USA,400,75.2,7
Nicholas,2021-09-12,Category 1,0,USA,10,1.1,9
Fiona,2022-09-14,Category 4,31,"Puerto Rico, Canada",100,3.1,10
Ian,2022-09-23,Category 5,161,"USA, Cuba",1000,113.0,10
Cyclone Freddy,2023-02-04,Category 5 Equivalent,1434,"Malawi, Mozambique, Madagascar",2500,0.65,36
Typhoon Doksuri,2023-07-20,Category 4 Equivalent,137,"China, Philippines, Taiwan",500,15.4,11
Idalia,2023-08-26,Category 4,12,USA,50,3.6,6
Beryl,2024-06-28,Category 5,73,"USA, Caribbean",200,6.8,12
Typhoon Yagi,2024-09-01,Category 5 Equivalent,820,"Vietnam, China, Myanmar, Philippines",2200,15.8,8
Helene,2024-09-24,Category 4,230,USA,1000,89.0,5
Milton,2024-10-05,Category 5,35,"USA, Mexico",250,34.0,7
