hurricane_name,date,severity,deaths,location,injuries,damage_billions,duration_days
Alberto (2000),2000-08-03 to 2000-08-23,Category 3,0,"Senegal; East Coast of the United States; Iceland; Greenland; Jan Mayen",Not reported,0,20
Debby (2000),2000-08-19 to 2000-08-24,Category 1,1,"Lesser Antilles; Greater Antilles; Turks and Caicos; Florida",Not reported,0.000735,5
Florence (2000),2000-09-10 to 2000-09-17,Category 1,3,"Bermuda; North Carolina; Newfoundland",Not reported,0,7
Gordon (2000),2000-09-14 to 2000-09-21,Category 1,26,"Mexico; Southeastern United States; Mid-Atlantic states; New England",Not reported,0.0108,7
Isaac (2000),2000-09-21 to 2000-10-01,Category 4,1,"Cape Verde; Bermuda; East Coast of the United States; British Isles",Not reported,0,10
Joyce (2000),2000-09-25 to 2000-10-02,Category 1,0,"Windward Islands; ABC Islands; Dominican Republic",Not reported,0,7
Keith (2000),2000-09-28 to 2000-10-06,Category 4,68,"Central America; Mexico",Not reported,0.319,8
Michael (2000),2000-10-15 to 2000-10-20,Category 2,0,"Bermuda; Maine; Atlantic Canada",Not reported,0,5
Aletta (2000),2000-05-22 to 2000-05-28,Category 2,0,Southwestern Mexico,Not reported,0,6
Carlotta (2000),2000-06-18 to 2000-06-25,Category 4,18,"Southwestern Mexico; Northwestern Mexico",Not reported,0,7
Daniel (2000),2000-07-23 to 2000-08-05,Category 3,0,"Hawaiian Islands; Aleutian Islands",Not reported,0,13
Gilma (2000),2000-08-05 to 2000-08-11,Category 1,0,None reported,Not reported,0,6
Hector (2000),2000-08-10 to 2000-08-16,Category 1,0,None reported,Not reported,0,6
Lane (2000),2000-09-05 to 2000-09-14,Category 2,0,"Socorro Island; Baja California Peninsula; Southwestern United States",Not reported,0,9
Erin (2001),2001-09-01 to 2001-09-15,Category 3,0,"Bermuda; Atlantic Canada; East Coast of the United States",Not reported,0,14
Felix (2001),2001-09-07 to 2001-09-19,Category 3,0,None reported,Not reported,0,12
Gabrielle (2001),2001-09-11 to 2001-09-19,Category 1,3,"Florida; Newfoundland",Not reported,0.23,8
Humberto (2001),2001-09-21 to 2001-09-27,Category 2,0,Bermuda,Not reported,0,6
Iris (2001),2001-10-04 to 2001-10-09,Category 4,36,"Windward Islands; Greater Antilles; Central America; Eastern Mexico",Not reported,0.25,5
Karen (2001),2001-10-12 to 2001-10-15,Category 1,0,"Bermuda; Atlantic Canada",Not reported,0.0014,3
Michelle (2001),2001-10-29 to 2001-11-05,Category 4,48,"Greater Antilles; Central America; Florida; Bahamas; Bermuda",Not reported,2.43,7
Noel (2001),2001-11-04 to 2001-11-06,Category 1,0,None reported,Not reported,0,2
Olga (2001),2001-11-24 to 2001-12-04,Category 1,0,"Bahamas; Greater Antilles; Florida",Not reported,0,10
Adolph (2001),2001-05-25 to 2001-06-01,Category 4,0,None reported,Not reported,0,7
Dalila (2001),2001-07-08 to 2001-07-14,Category 2,0,None reported,Not reported,0,6
Flossie (2001),2001-07-06 to 2001-07-14,Category 3,0,None reported,Not reported,0,8
Gil (2001),2001-07-25 to 2001-08-01,Category 2,0,None reported,Not reported,0,7
Juliette (2001),2001-09-21 to 2001-10-03,Category 4,7,"Baja California Sur; Sonora",Not reported,0.4,12
Kiko (2001),2001-10-14 to 2001-10-20,Category 3,0,None reported,Not reported,0,6
Narda (2001),2001-10-27 to 2001-11-02,Category 1,0,Western Mexico,Not reported,0,6
Octave (2001),2001-11-01 to 2001-11-06,Category 1,0,None reported,Not reported,0,5
Gustav (2002),2002-09-08 to 2002-09-12,Category 2,0,"Bermuda; Atlantic Canada",Not reported,0.1,4
